user_id,age,gender,education_level,country,test_run_id,battery_id,specific_subtest_id,raw_score,time_of_day,grand_index
3127,30.0,m,,US,393768,14,29,16.0,12,123.63350320654637
3127,30.0,m,,US,393768,14,28,7.0,12,123.63350320654637
3127,30.0,m,,US,393768,14,30,7.0,12,123.63350320654637
3127,30.0,m,,US,393768,14,27,10.0,12,123.63350320654637
3127,30.0,m,,US,393768,14,26,381.0,12,123.63350320654637
3395,22.0,m,4.0,US,719187,14,29,28.0,18,143.85682041859843
3395,22.0,m,4.0,US,719187,14,28,7.0,18,143.85682041859843
3395,22.0,m,4.0,US,719187,14,30,15.0,18,143.85682041859843
3395,22.0,m,4.0,US,719187,14,27,10.0,18,143.85682041859843
3395,22.0,m,4.0,US,719187,14,26,410.0,18,143.85682041859843
37852,35.0,m,6.0,US,349926,14,29,22.0,10,125.0524693007768
37852,35.0,m,6.0,US,349926,14,28,6.0,10,125.0524693007768
37852,35.0,m,6.0,US,349926,14,30,5.0,10,125.0524693007768
37852,35.0,m,6.0,US,349926,14,27,9.0,10,125.0524693007768
37852,35.0,m,6.0,US,349926,14,26,305.0,10,125.0524693007768
59689,43.0,m,2.0,US,198598,14,29,22.0,18,127.50859001481318
59689,43.0,m,2.0,US,198598,14,28,7.0,18,127.50859001481318
59689,43.0,m,2.0,US,198598,14,30,9.0,18,127.50859001481318
59689,43.0,m,2.0,US,198598,14,27,9.0,18,127.50859001481318
59689,43.0,m,2.0,US,198598,14,26,380.0,18,127.50859001481318
62633,18.0,f,4.0,US,401959,14,29,17.0,17,140.69385478916976
62633,18.0,f,4.0,US,401959,14,28,7.0,17,140.69385478916976
62633,18.0,f,4.0,US,401959,14,30,13.0,17,140.69385478916976
62633,18.0,f,4.0,US,401959,14,27,11.0,17,140.69385478916976
62633,18.0,f,4.0,US,401959,14,26,344.0,17,140.69385478916976
76873,27.0,m,3.0,US,531227,14,29,29.0,21,146.33831857845388
76873,27.0,m,3.0,US,531227,14,28,6.0,21,146.33831857845388
76873,27.0,m,3.0,US,531227,14,30,13.0,21,146.33831857845388
76873,27.0,m,3.0,US,531227,14,27,10.0,21,146.33831857845388
76873,27.0,m,3.0,US,531227,14,26,311.0,21,146.33831857845388
83928,23.0,m,6.0,CA,164391,14,29,15.0,11,113.63738180156798
83928,23.0,m,6.0,CA,164391,14,28,6.0,11,113.63738180156798
83928,23.0,m,6.0,CA,164391,14,30,13.0,11,113.63738180156798
83928,23.0,m,6.0,CA,164391,14,27,8.0,11,113.63738180156798
83928,23.0,m,6.0,CA,164391,14,26,417.0,11,113.63738180156798
89412,40.0,f,2.0,US,604308,14,29,6.0,20,99.24695842783744
89412,40.0,f,2.0,US,604308,14,28,6.0,20,99.24695842783744
89412,40.0,f,2.0,US,604308,14,30,6.0,20,99.24695842783744
89412,40.0,f,2.0,US,604308,14,27,8.0,20,99.24695842783744
89412,40.0,f,2.0,US,604308,14,26,369.0,20,99.24695842783744
145445,27.0,m,2.0,CA,526199,14,29,15.0,2,94.26719149396467
145445,27.0,m,2.0,CA,526199,14,28,5.0,2,94.26719149396467
145445,27.0,m,2.0,CA,526199,14,30,1.0,2,94.26719149396467
145445,27.0,m,2.0,CA,526199,14,27,9.0,2,94.26719149396467
145445,27.0,m,2.0,CA,526199,14,26,477.0,2,94.26719149396467
156181,47.0,m,3.0,US,110550,14,29,16.0,5,94.82252544842754
156181,47.0,m,3.0,US,110550,14,28,5.0,5,94.82252544842754
156181,47.0,m,3.0,US,110550,14,30,7.0,5,94.82252544842754
156181,47.0,m,3.0,US,110550,14,27,7.0,5,94.82252544842754
156181,47.0,m,3.0,US,110550,14,26,498.0,5,94.82252544842754
166998,18.0,m,2.0,CA,15178,14,29,19.0,22,103.60710173483557
166998,18.0,m,2.0,CA,15178,14,28,6.0,22,103.60710173483557
166998,18.0,m,2.0,CA,15178,14,30,7.0,22,103.60710173483557
166998,18.0,m,2.0,CA,15178,14,27,7.0,22,103.60710173483557
166998,18.0,m,2.0,CA,15178,14,26,456.0,22,103.60710173483557
177495,20.0,m,4.0,AU,364129,14,29,21.0,14,117.15856866740974
177495,20.0,m,4.0,AU,364129,14,28,6.0,14,117.15856866740974
177495,20.0,m,4.0,AU,364129,14,30,9.0,14,117.15856866740974
177495,20.0,m,4.0,AU,364129,14,27,8.0,14,117.15856866740974
177495,20.0,m,4.0,AU,364129,14,26,387.0,14,117.15856866740974
210892,32.0,f,6.0,US,609096,14,29,30.0,15,124.47577413470016
210892,32.0,f,6.0,US,609096,14,28,5.0,15,124.47577413470016
210892,32.0,f,6.0,US,609096,14,30,9.0,15,124.47577413470016
210892,32.0,f,6.0,US,609096,14,27,9.0,15,124.47577413470016
210892,32.0,f,6.0,US,609096,14,26,405.0,15,124.47577413470016
218713,25.0,m,6.0,CA,405662,14,29,21.0,19,125.50856574117763
218713,25.0,m,6.0,CA,405662,14,28,8.0,19,125.50856574117763
218713,25.0,m,6.0,CA,405662,14,30,11.0,19,125.50856574117763
218713,25.0,m,6.0,CA,405662,14,27,8.0,19,125.50856574117763
218713,25.0,m,6.0,CA,405662,14,26,419.0,19,125.50856574117763
231062,33.0,m,6.0,US,328457,14,29,10.0,22,86.87969535680278
231062,33.0,m,6.0,US,328457,14,28,5.0,22,86.87969535680278
231062,33.0,m,6.0,US,328457,14,30,5.0,22,86.87969535680278
231062,33.0,m,6.0,US,328457,14,27,8.0,22,86.87969535680278
231062,33.0,m,6.0,US,328457,14,26,589.0,22,86.87969535680278
248886,29.0,m,4.0,US,689980,14,29,9.0,18,123.15224824826532
